dataset,model,params,accuracy,precision,recall,f1
Wine,SVM-linear,LIBSVM -s 0 -t 0 -c 1,0.9629629629629629,0.9665831244778613,0.9619047619047619,0.963623722244412
Wine,SVM-RBF,LIBSVM -s 0 -t 2 -c 1 -g 0.5,0.8518518518518519,0.9080459770114943,0.8296296296296296,0.8437254901960785
Wine,BP,"MLP hidden=(16,), relu, adam",0.9444444444444444,0.9435672514619883,0.9460317460317459,0.9443785248663298
Wine,C4.5,handwritten gain-ratio tree,0.9444444444444444,0.9500891265597148,0.947089947089947,0.9481727574750831
Breast Cancer WDBC,SVM-linear,LIBSVM -s 0 -t 0 -c 1,0.9649122807017544,0.9734513274336283,0.953125,0.9617734724292102
Breast Cancer WDBC,SVM-RBF,LIBSVM -s 0 -t 2 -c 1 -g 0.5,0.7953216374269005,0.8767605633802817,0.7265625,0.7415468324912553
Breast Cancer WDBC,BP,"MLP hidden=(16,), relu, adam",0.9824561403508771,0.9863636363636363,0.9765625,0.9810875576036866
Breast Cancer WDBC,C4.5,handwritten gain-ratio tree,0.9005847953216374,0.9035087719298245,0.8828855140186915,0.891290527654164
