轮次,训练样本数,袋外样本数,准确率,精确率,召回率,F1,TP,TN,FP,FN
146,17,6,0.166667,0.250000,0.333333,0.285714,1,0,3,2
147,17,8,0.750000,0.750000,0.750000,0.750000,3,3,1,1
148,17,6,0.666667,0.666667,0.666667,0.666667,2,2,1,1
149,17,5,0.600000,1.000000,0.500000,0.666667,2,1,0,2
150,17,7,0.714286,0.750000,0.750000,0.750000,3,2,1,1
151,17,4,0.750000,1.000000,0.666667,0.800000,2,1,0,1
152,17,6,0.666667,0.500000,0.500000,0.500000,1,3,1,1
153,17,7,0.428571,0.333333,0.333333,0.333333,1,2,2,2
154,17,6,0.833333,0.750000,1.000000,0.857143,3,2,1,0
155,17,8,0.750000,0.800000,0.800000,0.800000,4,2,1,1
156,17,6,0.500000,1.000000,0.400000,0.571429,2,1,0,3
157,17,6,0.333333,0.250000,0.500000,0.333333,1,1,3,1
158,17,5,0.800000,1.000000,0.500000,0.666667,1,3,0,1
159,17,6,0.833333,0.666667,1.000000,0.800000,2,3,1,0
160,17,7,0.571429,0.600000,0.750000,0.666667,3,1,2,1
161,17,6,0.500000,0.333333,0.500000,0.400000,1,2,2,1
162,17,6,0.666667,0.500000,1.000000,0.666667,2,2,2,0
163,17,5,0.400000,0.333333,0.500000,0.400000,1,1,2,1
164,17,7,0.571429,0.500000,0.333333,0.400000,1,3,1,2
165,17,5,0.800000,1.000000,0.500000,0.666667,1,3,0,1
166,17,7,0.714286,0.666667,0.666667,0.666667,2,3,1,1
167,17,5,0.400000,0.000000,0.000000,0.000000,0,2,0,3
168,17,6,0.500000,0.400000,1.000000,0.571429,2,1,3,0
169,17,6,0.500000,0.500000,0.666667,0.571429,2,1,2,1
170,17,8,0.375000,0.428571,0.750000,0.545455,3,0,4,1
171,17,6,0.833333,0.750000,1.000000,0.857143,3,2,1,0
172,17,5,0.600000,0.666667,0.666667,0.666667,2,1,1,1
173,17,5,0.800000,1.000000,0.500000,0.666667,1,3,0,1
174,17,6,0.333333,0.400000,0.666667,0.500000,2,0,3,1
175,17,3,0.666667,0.500000,1.000000,0.666667,1,1,1,0
176,17,6,0.500000,0.250000,1.000000,0.400000,1,2,3,0
177,17,5,0.800000,0.000000,0.000000,0.000000,0,4,0,1
178,17,5,1.000000,1.000000,1.000000,1.000000,2,3,0,0
179,17,5,0.600000,0.600000,1.000000,0.750000,3,0,2,0
180,17,7,0.571429,0.500000,0.666667,0.571429,2,2,2,1
181,17,5,0.600000,0.333333,1.000000,0.500000,1,2,2,0
182,17,8,0.625000,0.400000,1.000000,0.571429,2,3,3,0
183,17,6,0.666667,0.750000,0.750000,0.750000,3,1,1,1
184,17,7,0.571429,0.333333,0.500000,0.400000,1,3,2,1
185,17,7,0.428571,0.333333,1.000000,0.500000,2,1,4,0
186,17,7,0.714286,1.000000,0.333333,0.500000,1,4,0,2
187,17,7,0.714286,0.750000,0.750000,0.750000,3,2,1,1
188,17,5,0.800000,0.666667,1.000000,0.800000,2,2,1,0
189,17,7,0.285714,0.200000,0.500000,0.285714,1,1,4,1
190,17,9,0.666667,1.000000,0.400000,0.571429,2,4,0,3
191,17,5,0.600000,0.666667,0.666667,0.666667,2,1,1,1
192,17,7,0.571429,0.400000,1.000000,0.571429,2,2,3,0
193,17,6,0.500000,0.500000,0.333333,0.400000,1,2,1,2
194,17,7,0.571429,0.666667,0.500000,0.571429,2,2,1,2
195,17,7,0.428571,0.500000,0.250000,0.333333,1,2,1,3
196,17,4,0.750000,1.000000,0.666667,0.800000,2,1,0,1
197,17,5,0.600000,0.333333,1.000000,0.500000,1,2,2,0
198,17,7,0.571429,1.000000,0.250000,0.400000,1,3,0,3
199,17,4,0.500000,0.333333,1.000000,0.500000,1,1,2,0
200,17,5,0.600000,1.000000,0.333333,0.500000,1,2,0,2
